"","X","fullname","Category","Country","League","Position","Rating","Club","DIV","REF","GKP","HAN","POS"
"395",1083,"Alphonse Areola","Basic","France","Ligue 1","GK",80,"Paris Saint-Germain","84","85","76","80","76"
"402",1090,"Antonio Mirante","Basic","Italy","Calcio A","GK",80,"Bologna","82","82","78","84","78"
"406",1094,"Victor Valdés","Basic","Spain","Premier League","GK",80,"Middlesbrough","80","80","84","80","84"
"413",1101,"Kasper Schmeichel","Basic","Denmark","Premier League","GK",80,"Leicester City","82","84","78","78","78"
"415",1103,"René Adler","Basic","Germany","Bundesliga","GK",80,"Hamburger SV","80","81","82","80","82"
"418",1106,"Moyá","Basic","Spain","LaLiga Santander","GK",80,"Atlético Madrid","85","79","81","78","81"
"425",1119,"Salvatore Sirigu","Basic","Italy","LaLiga Santander","GK",80,"Sevilla FC","83","83","80","79","80"
"426",1120,"Salvatore Sirigu","Basic","Italy","Ligue 1","GK",80,"Paris Saint-Germain","83","83","80","79","80"
"455",1159,"Sergio Asenjo","Basic","Spain","LaLiga Santander","GK",80,"Villarreal CF","84","75","81","82","81"
"498",1222,"Marwin Hitz","Basic","Switzerland","Bundesliga","GK",79,"FC Augsburg","82","82","80","76","80"
"500",1224,"Neto","Basic","Brazil","Calcio A","GK",79,"Juventus","84","83","74","80","74"
"507",1232,"Roberto","Basic","Spain","LaLiga Santander","GK",79,"RCD Espanyol","81","83","79","73","79"
"508",1233,"Adrián","Basic","Spain","Premier League","GK",79,"West Ham United","80","86","75","78","75"
"523",1249,"Oliver Baumann","Basic","Germany","Bundesliga","GK",79,"TSG 1899 Hoffenheim","82","84","76","79","76"
"524",1250,"Jeroen Zoet","Basic","Netherlands","Eredivisie","GK",79,"PSV","80","82","80","76","80"
"534",1268,"Jasper Cillessen","Basic","Netherlands","LaLiga Santander","GK",79,"FC Barcelona","79","77","81","83","81"
"535",1269,"Jasper Cillessen","Basic","Netherlands","Eredivisie","GK",79,"Ajax","79","77","81","83","81"
"541",1276,"Sergio Rico","Basic","Spain","LaLiga Santander","GK",79,"Sevilla FC","80","82","80","80","80"
"545",1281,"Alisson","Basic","Brazil","Calcio A","GK",79,"Roma","75","86","78","76","78"
"556",1296,"Tim Howard","Basic","United States","Major League Soccer","GK",79,"Colorado Rapids","80","79","78","76","78"
"560",1303,"Casillas","Basic","Spain","Liga NOS","GK",79,"FC Porto","85","86","80","73","80"
"566",1312,"Carlos Idriss Kameni","Basic","Cameroon","LaLiga Santander","GK",79,"Málaga CF","82","82","76","82","76"
"567",1313,"Stefano Sorrentino","Basic","Italy","Calcio A","GK",79,"Chievo Verona","80","80","83","82","83"
"595",1354,"Ben Foster","Basic","England","Premier League","GK",79,"West Bromwich Albion","79","84","77","79","77"
"597",1356,"Adán","Basic","Spain","LaLiga Santander","GK",79,"Real Betis","77","78","80","85","80"
"601",1363,"Cédric Carrasso","Basic","France","Ligue 1","GK",79,"FC Girondins de Bordeaux","78","82","79","79","79"
"611",1375,"Andriy Pyatov","Basic","Ukraine","Rest of World","GK",79,"Shakhtar Donetsk","79","83","81","74","81"
"613",1377,"Lukasz Fabianski","Basic","Poland","Premier League","GK",79,"Swansea City","77","84","78","84","78"
"623",1389,"Michel Vorm","Basic","Netherlands","Premier League","GK",79,"Tottenham Hotspur","79","84","77","76","77"
"626",1392,"Diego López","Basic","Spain","Calcio A","GK",79,"Milan","78","78","82","82","82"
"627",1393,"Diego López","Basic","Spain","LaLiga Santander","GK",79,"RCD Espanyol","78","78","82","82","82"
"629",1395,"Volkan Demirel","Basic","Turkey","Süper Lig","GK",79,"Fenerbahçe SK","82","82","77","78","77"
"686",1473,"Mathew Ryan","Basic","Australia","LaLiga Santander","GK",78,"Valencia CF","82","80","78","73","78"
"696",1483,"Benjamin Lecomte","Basic","France","Ligue 1","GK",78,"FC Lorient","81","83","77","74","77"
"737",1531,"Stanislav Kritsyuk","Basic","Russia","Sogaz Russian Football Championship","GK",78,"FC Krasnodar","79","81","76","80","76"
"745",1540,"Tim Krul","Basic","Netherlands","Eredivisie","GK",78,"Ajax","79","81","76","77","76"
"746",1541,"Tim Krul","Basic","Netherlands","EFL Championship","GK",78,"Newcastle United","79","81","76","77","76"
"750",1549,"Iraizoz","Basic","Spain","LaLiga Santander","GK",78,"Athletic Club","69","74","85","83","85"
"773",1577,"Wojciech Szczesny","Basic","Poland","Calcio A","GK",78,"Roma","83","84","73","74","73"
"779",1583,"Volkan Babacan","Basic","Turkey","Süper Lig","GK",78,"Medipol Basaksehir FK","81","80","82","77","82"
"812",1624,"Kiko Casilla","Basic","Spain","LaLiga Santander","GK",78,"Real Madrid","73","77","82","83","82"
"823",1635,"David Ospina","Basic","Colombia","Premier League","GK",78,"Arsenal","83","84","77","71","77"
"880",1710,"Kenneth Vermeer","Basic","Netherlands","Eredivisie","GK",78,"Feyenoord","82","84","78","72","78"
"881",1711,"Guillermo Ochoa","Basic","Mexico","LaLiga Santander","GK",78,"Granada CF","79","87","79","69","79"
"887",1719,"Igor Akinfeev","Basic","Russia","Sogaz Russian Football Championship","GK",78,"CSKA Moscow","79","83","82","73","82"
"894",1726,"Jefferson","Basic","Brazil","International","GK",78,"Brazil","78","82","78","79","78"
"1026",1883,"Lukáš Hrádecký","Basic","Finland","Bundesliga","GK",77,"Eintracht Frankfurt","75","83","77","75","77"
"1129",1993,"Koen Casteels","Basic","Belgium","Bundesliga","GK",77,"VfL Wolfsburg","80","82","75","69","75"
"1156",2024,"Agustín Marchesín","Basic","Argentina","LIGA Bancomer MX","GK",77,"Santos Laguna","74","83","80","75","80"
"1179",2054,"Denys Boyko","Basic","Ukraine","Süper Lig","GK",77,"Besiktas JK","83","84","74","69","74"
"1180",2055,"Denys Boyko","Basic","Ukraine","LaLiga Santander","GK",77,"Málaga CF","83","84","74","69","74"
"1194",2072,"Ederson","Basic","Brazil","Liga NOS","GK",77,"SL Benfica","80","82","75","72","75"
"1202",2081,"Sebastián Torrico","Basic","Argentina","Primera División","GK",77,"San Lorenzo de Almagro","79","79","80","72","80"
"1207",2087,"Yuriy Lodygin","Basic","Russia","Sogaz Russian Football Championship","GK",77,"Zenit St. Petersburg","81","84","71","75","71"
"1219",2119,"Ludovic Butelle","Basic","France","Belgium Pro League","GK",77,"Club Brugge KV","80","75","80","81","80"
"1222",2122,"Gomes","Basic","Brazil","Premier League","GK",77,"Watford","83","82","74","73","74"
"1226",2126,"Iván Cuéllar","Basic","Spain","LaLiga Santander","GK",77,"R. Sporting","75","81","74","79","74"
"1229",2129,"Willy Caballero","Basic","Argentina","Premier League","GK",77,"Manchester City","79","80","78","75","78"
"1241",2149,"Sergio Romero","Basic","Argentina","Premier League","GK",77,"Manchester United","76","82","76","70","76"
"1242",2150,"Nahuel Guzmán","Basic","Argentina","LIGA Bancomer MX","GK",77,"Tigres U.A.N.L.","77","80","78","76","78"
"1244",2152,"Rémy Riou","Basic","France","Ligue 1","GK",77,"FC Nantes","76","79","77","77","77"
"1251",2159,"Fraser Forster","Basic","England","Premier League","GK",77,"Southampton","75","82","77","80","77"
"1252",2160,"Geoffrey Jourdren","Basic","France","Ligue 1","GK",77,"Montpellier Hérault SC","80","80","76","75","76"
"1258",2166,"Guilherme","Basic","Russia","Sogaz Russian Football Championship","GK",77,"Lokomotiv Moscow","82","79","77","73","77"
"1269",2177,"Morgan De Sanctis","Basic","Italy","Ligue 1","GK",77,"AS Monaco Football Club SA","78","78","83","77","83"
"1270",2178,"Diego Benaglio","Basic","Switzerland","Bundesliga","GK",77,"VfL Wolfsburg","77","75","80","80","80"
"1271",2179,"Marcelo Barovero","Basic","Argentina","LIGA Bancomer MX","GK",77,"Club Necaxa","78","79","80","75","80"
"1274",2182,"Agustín Orión","Basic","Argentina","Primera División","GK",77,"Racing Club","76","75","81","80","81"
"1277",2185,"Zydrunas Karcemarskas","Basic","Lithuania","Süper Lig","GK",77,"Osmanlispor","77","80","77","79","77"
"1278",2186,"Roman Weidenfeller","Basic","Germany","Bundesliga","GK",77,"Borussia Dortmund","76","77","81","81","81"
"1305",2215,"Jonathan Orozco","Basic","Mexico","LIGA Bancomer MX","GK",76,"Monterrey","80","77","74","72","74"
"1306",2216,"Alfredo Talavera","Basic","Mexico","LIGA Bancomer MX","GK",76,"Deportivo Toluca","82","78","75","75","75"
"1311",2222,"Sergio","Basic","Spain","LaLiga Santander","GK",76,"RC Celta","77","80","78","72","78"
"1328",2239,"Jean-Louis Leca","Basic","France","Ligue 1","GK",76,"Sporting Club de Bastia","77","81","76","75","76"
"1333",2244,"Fabricio","Basic","Spain","Süper Lig","GK",76,"Besiktas JK","77","76","70","80","70"
"1336",2247,"Simon Mignolet","Basic","Belgium","Premier League","GK",76,"Liverpool","79","84","72","73","72"
"1337",2248,"Simon Mignolet","Basic","Belgium","Premier League","GK",76,"Liverpool","79","84","72","73","72"
"1364",2279,"Mariano Andújar","Basic","Argentina","Primera División","GK",76,"Estudiantes de La Plata","77","78","79","76","79"
"1376",2292,"Javi Varas","Basic","Spain","LaLiga Santander","GK",76,"UD Las Palmas","80","81","74","71","74"
"1379",2295,"Beto","Basic","Portugal","Liga NOS","GK",76,"Sporting CP","81","80","75","69","75"
"1410",2328,"Fernando Monetti","Basic","Argentina","Primera División","GK",76,"Club Atlético Lanús","78","80","72","79","72"
"1437",2359,"Silvio Proto","Basic","Belgium","Belgium Pro League","GK",76,"KV Oostende","77","81","76","75","76"
"1440",2362,"Rune Almenning Jarstein","Basic","Norway","Bundesliga","GK",76,"Hertha Berlin","74","78","81","76","81"
"1465",2390,"Rémy Vercoutre","Basic","France","Ligue 1","GK",76,"Stade Malherbe Caen","78","78","76","75","76"
"1468",2396,"Daniele Padelli","Basic","Italy","Calcio A","GK",76,"Torino","78","77","77","79","77"
"1469",2397,"Jaroslav Drobný","Basic","Czech Republic","Bundesliga","GK",76,"SV Werder Bremen","76","76","80","79","80"
"1486",2414,"Vladimir Stojkovic","Basic","Serbia","EFL Championship","GK",76,"Nottingham Forest","78","80","72","75","72"
"1488",2416,"Sergey Ryzhikov","Basic","Russia","Sogaz Russian Football Championship","GK",76,"Rubin Kazan","77","79","76","74","76"
"1507",2437,"Costel Pantilimon","Basic","Romania","Premier League","GK",76,"Watford","74","78","79","77","79"
"1525",2455,"Sven Ulreich","Basic","Germany","Bundesliga","GK",76,"FC Bayern München","81","79","75","74","75"
"1577",2531,"Ciprian Tatarusanu","Basic","Romania","Calcio A","GK",76,"Fiorentina","74","78","79","75","79"
"1581",2535,"Matz Sels","Basic","Belgium","EFL Championship","GK",76,"Newcastle United","81","78","75","71","75"
"1634",2595,"Franco Armani","Basic","Argentina","Liga Dimayor","GK",76,"Atlético Nacional","76","77","79","73","79"
"1663",2627,"Eduardo","Basic","Portugal","Premier League","GK",75,"Chelsea","75","76","78","74","78"
"1664",2628,"Eduardo","Basic","Portugal","International","GK",75,"Portugal","75","76","78","74","78"
"1735",2701,"David Marshall","Basic","Scotland","Premier League","GK",75,"Hull City","76","78","77","72","77"
"1736",2702,"David Marshall","Basic","Scotland","EFL Championship","GK",75,"Cardiff City","76","78","77","72","77"
"1737",2703,"David Marshall","Basic","Scotland","EFL Championship","GK",75,"Cardiff City","76","78","77","72","77"
"1760",2728,"Tiago Volpi","Basic","Brazil","LIGA Bancomer MX","GK",75,"Querétaro","83","82","75","69","75"
"1765",2733,"Matheus","Basic","Brazil","Liga NOS","GK",75,"SC Braga","78","80","75","67","75"
"1766",2734,"Pacheco","Basic","Spain","LaLiga Santander","GK",75,"D. Alavés","77","74","80","71","80"
"1786",2754,"Maarten Stekelenburg","Basic","Netherlands","Premier League","GK",75,"Everton","78","76","74","73","74"
"1787",2755,"Albano Bizzarri","Basic","Argentina","Calcio A","GK",75,"Pescara","77","75","79","76","79"
"1792",2760,"Artur Boruc","Basic","Poland","Premier League","GK",75,"Bournemouth","77","83","74","72","74"
"1794",2762,"Nick Rimando","Basic","United States","Major League Soccer","GK",75,"Real Salt Lake","73","80","74","74","74"
"1800",2768,"Isaac Becerra","Basic","Spain","LaLiga 1 I 2 I 3","GK",75,"R. Valladolid CF","79","79","71","73","71"
"1801",2769,"José Sá","Basic","Portugal","Liga NOS","GK",75,"FC Porto","78","79","72","74","72"
"1804",2772,"Tomáš Vaclík","Basic","Czech Republic","Raiffeisen Super League","GK",75,"FC Basel","76","79","75","75","75"
"1836",2810,"Nicolas Douchez","Basic","France","Domino’s Ligue 2","GK",75,"Racing Club de Lens","75","77","74","76","74"
"1839",2813,"Marco Storari","Basic","Italy","Calcio A","GK",75,"Cagliari","78","78","75","76","75"
"1842",2816,"Germán Lux","Basic","Argentina","LaLiga Santander","GK",75,"RC Deportivo","75","78","76","72","76"
"1851",2827,"Gianluigi Donnarumma","Basic","Italy","Calcio A","GK",75,"Milan","78","84","70","72","70"
"1857",2834,"Martín Campaña","Basic","Uruguay","Primera División","GK",75,"Independiente","81","81","71","75","71"
"1873",2852,"Anton Kanibolotskyi","Basic","Ukraine","Rest of World","GK",75,"Shakhtar Donetsk","76","78","77","75","77"
"1883",2863,"Francesco Bardi","Basic","Italy","Calcio B","GK",75,"Frosinone","79","77","70","77","70"
"1899",2879,"Alex McCarthy","Basic","England","Premier League","GK",75,"Southampton","78","81","74","73","74"
"1905",2885,"Cássio","Basic","Brazil","Liga NOS","GK",75,"Rio Ave FC","81","78","73","70","73"
"1920",2900,"Keiren Westwood","Basic","Republic of Ireland","EFL Championship","GK",75,"Sheffield Wednesday","77","79","75","73","75"
"1921",2901,"Mikhail Kerzhakov","Basic","Russia","Sogaz Russian Football Championship","GK",75,"Zenit St. Petersburg","75","74","77","76","77"
"1923",2903,"Thomas Kraft","Basic","Germany","Bundesliga","GK",75,"Hertha Berlin","80","84","65","75","65"
"1929",2910,"Bill Hamid","Basic","United States","Major League Soccer","GK",75,"D.C. United","77","79","70","74","70"
"1940",2921,"Jonas Lössl","Basic","Denmark","Bundesliga","GK",75,"1. FSV Mainz 05","79","79","78","70","78"
"1958",2945,"Gottardi","Basic","Brazil","Liga NOS","GK",75,"CS Marítimo","78","75","79","72","79"
"1994",2982,"Herrerín","Basic","Spain","LaLiga Santander","GK",75,"Athletic Club","76","71","73","86","73"
"1998",2986,"Lukasz Skorupski","Basic","Poland","Calcio A","GK",75,"Empoli","80","80","75","75","75"
"2047",3043,"Mariano Barbosa","Basic","Argentina","LaLiga Santander","GK",75,"Villarreal CF","75","78","71","73","71"
"2053",3049,"Romain Salin","Basic","France","Ligue 1","GK",75,"En Avant de Guingamp","78","77","72","72","72"
"2054",3050,"Romain Salin","Basic","France","Ligue 1","GK",75,"En Avant de Guingamp","78","77","72","72","72"
"2073",3071,"Itumeleng Khune","Basic","South Africa","Rest of World","GK",75,"Kaizer Chiefs","75","77","74","72","74"
"2074",3072,"Justo Villar","Basic","Paraguay","Campeonato Scotiabank","GK",75,"Colo-Colo","75","77","79","74","79"
"2080",3079,"Tom Heaton","Basic","England","Premier League","GK",75,"Burnley","76","78","76","75","76"
"2082",3081,"Andrés Fernández","Basic","Spain","LaLiga Santander","GK",75,"Villarreal CF","80","79","72","71","72"
"2092",3092,"José de Jesús Corona","Basic","Mexico","LIGA Bancomer MX","GK",75,"Cruz Azul","75","73","76","80","76"
"2129",3132,"Marafona","Basic","Portugal","Liga NOS","GK",75,"SC Braga","80","76","77","73","77"
"2134",3137,"Felix Wiedwald","Basic","Germany","Bundesliga","GK",75,"SV Werder Bremen","77","79","74","69","74"
"2321",3336,"Michael Rensing","Basic","Germany","Bundesliga 2","GK",74,"Fortuna Düsseldorf","77","79","70","75","70"
"2322",3337,"Michael Rensing","Basic","Germany","Bundesliga 2","GK",74,"Fortuna Düsseldorf","77","79","70","75","70"
"2330",3346,"Yoan Cardinale","Basic","France","Ligue 1","GK",74,"OGC Nice","72","76","75","76","75"
"2400",3423,"Nicolás Vikonis","Basic","Uruguay","Liga Dimayor","GK",74,"Millonarios FC","74","75","72","77","72"
"2412",3436,"Mitchell Langerak","Basic","Australia","Bundesliga 2","GK",74,"VfB Stuttgart","77","78","71","72","71"
"2415",3439,"Fabiano","Basic","Brazil","Süper Lig","GK",74,"Fenerbahçe SK","76","76","78","70","78"
"2448",3474,"Soslan Dzhanaev","Basic","Russia","Sogaz Russian Football Championship","GK",74,"FC Rostov","76","77","76","68","76"
"2460",3487,"Shay Given","Basic","Republic of Ireland","Premier League","GK",74,"Stoke City","71","74","79","73","79"
"2464",3491,"Eloy Room","Basic","Netherlands Antilles","Eredivisie","GK",74,"Vitesse","78","72","72","77","72"
"2468",3495,"Serantes","Basic","Spain","LaLiga Santander","GK",74,"CD Leganés","81","77","71","67","71"
"2471",3498,"Joel Robles","Basic","Spain","Premier League","GK",74,"Everton","76","75","74","74","74"
"2547",3581,"Wayne Hennessey","Basic","Wales","Premier League","GK",74,"Crystal Palace","74","74","76","76","76"
"2581",3615,"Yvon Mvogo","Basic","Switzerland","Raiffeisen Super League","GK",74,"BSC Young Boys","78","79","71","73","71"
"2582",3616,"Stefanos Kapino","Basic","Greece","Rest of World","GK",74,"Olympiacos CFP","77","79","72","68","72"
"2596",3631,"Allan McGregor","Basic","Scotland","Premier League","GK",74,"Hull City","75","77","75","74","75"
"2597",3632,"Gerhard Tremmel","Basic","Germany","Premier League","GK",74,"Swansea City","74","77","74","72","74"
"2599",3634,"Luke Steele","Basic","England","Rest of World","GK",74,"Panathinaikos FC","78","79","75","69","75"
"2607",3642,"Anders Lindegaard","Basic","Denmark","EFL Championship","GK",74,"Preston North End","76","70","75","76","75"
"2615",3650,"Jean-François Gillet","Basic","Belgium","Belgium Pro League","GK",74,"Standard de Liège","69","74","80","77","80"
"2632",3667,"Sergio Padt","Basic","Netherlands","Eredivisie","GK",74,"FC Groningen","75","78","74","70","74"
"2635",3670,"Guaita","Basic","Spain","LaLiga 1 I 2 I 3","GK",74,"Getafe CF","74","80","71","74","71"
"2672",3707,"Etrit Berisha","Basic","Albania","Calcio A","GK",74,"Lazio","79","79","74","70","74"
"2673",3708,"Etrit Berisha","Basic","Albania","Calcio A","GK",74,"Atalanta","79","79","74","70","74"
"2749",3788,"Rafael","Basic","Brazil","Calcio A","GK",74,"Cagliari","77","79","76","70","76"
"2755",3796,"Tolga Zengin","Basic","Turkey","Süper Lig","GK",74,"Besiktas JK","76","74","80","75","80"
"2756",3798,"Alejandro Palacios","Basic","Mexico","LIGA Bancomer MX","GK",74,"U.N.A.M.","79","77","72","73","72"
"2766",3811,"Przemyslaw Tyton","Basic","Poland","LaLiga Santander","GK",74,"RC Deportivo","71","79","71","70","71"
"2768",3813,"Johnny Herrera","Basic","Chile","Campeonato Scotiabank","GK",74,"Universidad de Chile","70","75","73","77","73"
"2770",3815,"Javier García","Basic","Argentina","Primera División","GK",74,"Club Atlético Tigre","81","81","65","75","65"
"2771",3816,"Vito Mannone","Basic","Italy","Premier League","GK",74,"Sunderland","75","76","71","72","71"
"2783",3828,"Juan Pablo Carrizo","Basic","Argentina","Calcio A","GK",74,"Inter","77","76","73","74","73"
"2790",3835,"Brad Guzan","Basic","United States","Premier League","GK",74,"Middlesbrough","75","77","75","74","75"
"2793",3838,"David Ousted","Basic","Denmark","Major League Soccer","GK",74,"Vancouver Whitecaps FC","73","77","72","73","72"
"2801",3846,"Ramazan Özcan","Basic","Austria","Bundesliga","GK",74,"Bayer 04 Leverkusen","73","75","76","71","76"
"2806",3851,"Alexandr Belenov","Basic","Russia","Sogaz Russian Football Championship","GK",74,"FC Anzhi Makhachkala","75","80","76","69","76"
"2833",3879,"Luigi Sepe","Basic","Italy","Calcio A","GK",73,"Napoli","73","79","71","75","71"
"2834",3880,"Rafael","Basic","Brazil","Calcio A","GK",73,"Napoli","75","74","73","73","73"
"2847",3893,"Ilya Abaev","Basic","Russia","Sogaz Russian Football Championship","GK",73,"Lokomotiv Moscow","76","77","74","70","74"
"2849",3895,"Cristian Campestrini","Basic","Argentina","LIGA Bancomer MX","GK",73,"Puebla","76","75","72","72","72"
"2853",3899,"Moisés Muñoz","Basic","Mexico","LIGA Bancomer MX","GK",73,"Club América","73","75","74","72","74"
"2862",3908,"Serkan Kirintili","Basic","Turkey","Süper Lig","GK",73,"Atiker Konyaspor","73","74","73","72","73"
"2876",3922,"Kwoun Sun Tae","Basic","Korea Republic","K LEAGUE Classic","GK",73,"Jeonbuk Hyundai Motors","74","73","74","71","74"
"2946",3993,"Tom Starke","Basic","Germany","Bundesliga","GK",73,"FC Bayern München","76","72","76","73","76"
"2947",3994,"Tom Starke","Basic","Germany","Bundesliga","GK",73,"FC Bayern München","76","72","76","73","76"
"2948",3995,"Tom Starke","Basic","Germany","Bundesliga","GK",73,"FC Bayern München","76","72","76","73","76"
"2987",4040,"Alban Lafont","Basic","France","Ligue 1","GK",73,"Toulouse Football Club","75","76","74","74","74"
"2988",4041,"Rob Green","Basic","England","EFL Championship","GK",73,"Leeds United","78","77","71","70","71"
"2995",4051,"Charles Itandje","Basic","Cameroon","Süper Lig","GK",73,"Gaziantepspor","74","77","75","70","75"
"3004",4060,"Artur Moraes","Basic","Brazil","Süper Lig","GK",73,"Osmanlispor","75","76","77","73","77"
"3012",4069,"Steeve Elana","Basic","France","Domino’s Ligue 2","GK",73,"Gazélec Football Club Ajaccio","75","72","74","73","74"
"3020",4077,"Robbin Ruiter","Basic","Netherlands","Eredivisie","GK",73,"FC Utrecht","72","73","77","73","77"
"3021",4078,"Robbin Ruiter","Basic","Netherlands","Eredivisie","GK",73,"FC Utrecht","72","73","77","73","77"
"3023",4080,"Yohann Pelé","Basic","France","Ligue 1","GK",73,"Olympique de Marseille","75","70","76","74","76"
"3026",4083,"Riesgo","Basic","Spain","LaLiga Santander","GK",73,"SD Eibar","76","70","77","78","77"
"3116",4173,"Douglas","Basic","Brazil","Liga NOS","GK",73,"Vitória Guimarães","75","75","76","71","76"
"3130",4187,"Gabriel","Basic","Brazil","Calcio A","GK",73,"Milan","77","79","69","74","69"
"3134",4191,"Cristopher Toselli","Basic","Chile","Campeonato Scotiabank","GK",73,"Universidad Católica","75","77","75","70","75"
"3157",4214,"Manuel Riemann","Basic","Germany","Bundesliga 2","GK",73,"VfL Bochum 1848","74","75","73","69","73"
"3160",4217,"Alexander Domínguez","Basic","Ecuador","LIGA Bancomer MX","GK",73,"Monterrey","74","72","70","74","70"
"3166",4223,"Harun Tekin","Basic","Turkey","Süper Lig","GK",73,"Bursaspor","79","78","72","67","72"
"3179",4236,"Diego Mariño","Basic","Spain","LaLiga Santander","GK",73,"R. Sporting","75","77","72","71","72"
"3198",4255,"Darren Randolph","Basic","Republic of Ireland","Premier League","GK",73,"West Ham United","76","77","71","71","71"
"3201",4258,"Peçanha","Basic","Brazil","Liga NOS","GK",73,"F. Santa Maria da Feira","75","75","72","70","72"
